run,category,num_examples,score,metric
baseline,abnormality_location,2722,0.53597,rouge_l
baseline,polyp_size,1458,0.566044,rouge_l
baseline,instrument_location,1631,0.580153,rouge_l
baseline,finding_count,4628,0.55629,rouge_l
baseline,finding_presence,14100,0.576622,rouge_l
baseline,landmark_color,1921,0.502265,rouge_l
cata_epoch5,abnormality_location,2722,0.645095,rouge_l
cata_epoch5,polyp_size,1458,0.663567,rouge_l
cata_epoch5,instrument_location,1631,0.694822,rouge_l
cata_epoch5,finding_count,4628,0.694565,rouge_l
cata_epoch5,finding_presence,14100,0.696979,rouge_l
cata_epoch5,landmark_color,1921,0.596766,rouge_l
cata_test_adapt,abnormality_location,2722,0.649867,rouge_l
cata_test_adapt,polyp_size,1458,0.678164,rouge_l
cata_test_adapt,instrument_location,1631,0.697639,rouge_l
cata_test_adapt,finding_count,4628,0.700346,rouge_l
cata_test_adapt,finding_presence,14100,0.69953,rouge_l
cata_test_adapt,landmark_color,1921,0.599767,rouge_l
